knummer_fra;kommunenavn_fra;kommunenr_2020;kommune_2020
1529;Skodje (-2019);1507;Ålesund
3422;Åmot;3422;Åmot
1534;Haram (-2019);1507;Ålesund
3423;Stor-Elvdal;3423;Stor-Elvdal
1546;Sandøy (-2019);1507;Ålesund
3424;Rendalen;3424;Rendalen
0701;Horten (2002-2019);3801;Horten
3425;Engerdal;3425;Engerdal
0704;Tønsberg (1988-2019);3803;Tønsberg
3426;Tolga;3426;Tolga
0710;Sandefjord (2017-2019);3804;Sandefjord
3427;Tynset;3427;Tynset
0712;Larvik (2018-2019);3805;Larvik
3428;Alvdal;3428;Alvdal
0713;Sande (Vestfold) (-2019);3802;Holmestrand
3429;Folldal;3429;Folldal
1511;Vanylven;1511;Vanylven
3430;Os;3430;Os
0715;Holmestrand (2018-2019);3802;Holmestrand
3431;Dovre;3431;Dovre
0716;Re (2002-2019);3803;Tønsberg
3432;Lesja;3432;Lesja
1514;Sande (Møre og Romsdal);1514;Sande
3433;Skjåk;3433;Skjåk
0729;Færder (2018-2019);3811;Færder
3434;Lom;3434;Lom
0805;Porsgrunn (-2019);3806;Porsgrunn
3435;Vågå;3435;Vågå
0806;Skien (-2019);3807;Skien
3436;Nord-Fron;3436;Nord-Fron
1515;Herøy (Møre og Romsdal);1515;Herøy (Møre og Romsdal)
3437;Sel;3437;Sel
3438;Sør-Fron;3438;Sør-Fron
0807;Notodden (1913-2019);3808;Notodden
3439;Ringebu;3439;Ringebu
0811;Siljan (-2019);3812;Siljan
3440;Øyer;3440;Øyer
0814;Bamble (-2019);3813;Bamble
3441;Gausdal;3441;Gausdal
0815;Kragerø (1960-2019);3814;Kragerø
3442;Østre Toten;3442;Østre Toten
0817;Drangedal (-2019);3815;Drangedal
3443;Vestre Toten;3443;Vestre Toten
1516;Ulstein;1516;Ulstein
3446;Gran;3446;Gran
0819;Nome (1964-2019);3816;Nome
3447;Søndre Land;3447;Søndre Land
0821;Bø (Telemark) (-2019);3817;Midt-Telemark
3448;Nordre Land;3448;Nordre Land
0822;Sauherad (-2019);3817;Midt-Telemark
3449;Sør-Aurdal;3449;Sør-Aurdal
1517;Hareid;1517;Hareid
3450;Etnedal;3450;Etnedal
0826;Tinn (-2019);3818;Tinn
3451;Nord-Aurdal;3451;Nord-Aurdal
0827;Hjartdal (-2019);3819;Hjartdal
3452;Vestre Slidre;3452;Vestre Slidre
1520;Ørsta;1520;Ørsta
3453;Øystre Slidre;3453;Øystre Slidre
0828;Seljord (-2019);3820;Seljord
3454;Vang;3454;Vang
0829;Kviteseid (-2019);3821;Kviteseid
0830;Nissedal (-2019);3822;Nissedal
1525;Stranda;1525;Stranda
0831;Fyresdal (-2019);3823;Fyresdal
0833;Tokke (1964-2019);3824;Tokke
0834;Vinje (-2019);3825;Vinje
1528;Sykkylven;1528;Sykkylven
0901;Risør (-2019);4201;Risør
0904;Grimstad (-2019);4202;Grimstad
0906;Arendal (1992-2019);4203;Arendal
1531;Sula;1531;Sula
0911;Gjerstad (-2019);4211;Gjerstad
0912;Vegårshei (-2019);4212;Vegårshei
0914;Tvedestrand (-2019);4213;Tvedestrand
1532;Giske;1532;Giske
0919;Froland (-2019);4214;Froland
0926;Lillesand (1962-2019);4215;Lillesand
0928;Birkenes (-2019);4216;Birkenes
1535;Vestnes;1535;Vestnes
0929;Åmli (-2019);4217;Åmli
